atom,resid,100ps,200ps,300ps,400ps,500ps,600ps,700ps,800ps,900ps,1000ps,Mean_100-1
CE1,terB,-0.218446121,-0.1990484767,-0.2587879085,-0.2504316774,-0.2483497821,-0.3762190448,-0.3607444934,-0.1519466483,-0.2763746728,-0.2663513048,-0.260670013
HE1,terB,0.0634573037,0.1292383596,0.1188326479,0.1097775486,0.1054727424,0.1940966677,0.1541524558,0.0933871463,0.1213034983,0.1147448316,0.1204463202
HE2,terB,0.1549888173,0.0698101171,0.1399552606,0.1406541287,0.1428770397,0.1821223771,0.2065920377,0.0585595019,0.1550711745,0.1516064732,0.1402236928
CD1,terB,-0.134093005,-0.1187290509,-0.1178076784,-0.1153978307,-0.1215191293,-0.0797109112,-0.1145728182,-0.0917504543,-0.124766236,-0.1269273972,-0.1145274511
HD1,terB,0.134093005,0.1187290509,0.1178076784,0.1153978307,0.1215191293,0.0797109112,0.1145728182,0.0917504543,0.124766236,0.1269273972,0.1145274511
CD2,terB,-0.0383493714,0.0113502149,-0.1528452357,-0.0896211101,-0.1447575908,-0.0126347145,-0.0744608147,-0.0244010967,-0.1216466122,-0.0767842634,-0.0724150595
HD2,terB,0.1091097485,0.1095482714,0.1500579641,0.1496158257,0.1326665997,0.0980883617,0.1348819347,0.083937659,0.1487173154,0.1208339148,0.1237457595
OD1,terB,-0.2269738678,-0.2878134887,-0.1423727334,-0.2000222264,-0.1083461666,-0.2452431499,-0.2096518392,-0.2079093942,-0.1714125934,-0.1937610642,-0.1993506524
CD3,terB,0.0427265568,0.023008258,0.0739736383,0.0400163976,0.0662640745,0.0371679278,0.0444047996,0.0444181348,0.0586355935,0.0528308807,0.0483446262
CD4,terB,0.0427265568,0.023008258,0.0739736383,0.0400163976,0.0662640745,0.0371679278,0.0444047996,0.0444181348,0.0586355935,0.0528308807,0.0483446262
CD5,terB,-0.0383493714,0.0113502149,-0.1528452357,-0.0896211101,-0.1447575908,-0.0126347145,-0.0744608147,-0.0244010967,-0.1216466122,-0.0767842634,-0.0724150595
HD3,terB,0.1091097485,0.1095482714,0.1500579641,0.1496158257,0.1326665997,0.0980883617,0.1348819347,0.083937659,0.1487173154,0.1208339148,0.1237457595
CA1,terB,0.6418876169,0.659132678,0.6694785592,0.6000192402,0.6469037311,0.5992242483,0.659228766,0.5771767419,0.6142931914,0.6363966826,0.6303741456
OA1,terB,-0.4925994048,-0.5037363585,-0.4976530917,-0.476678557,-0.495561725,-0.4671432081,-0.5147716728,-0.4780084523,-0.4888125784,-0.5166399171,-0.4931604966
OA2,terB,-0.4304666826,-0.4725193929,-0.4704805935,-0.4066710434,-0.4426945746,-0.4372925013,-0.4206143694,-0.3535071084,-0.3975650794,-0.4275378576,-0.4259349203
CA2,terB,0.2811784705,0.3171230733,0.298655126,0.2833303601,0.2913525685,0.3052114611,0.2761572763,0.2543388188,0.2720844664,0.307781092,0.2887212713
CA3,terB,0.1838418726,0.2109032614,0.1995995289,0.1913371288,0.1864781463,0.2028553969,0.1875831049,0.1835648418,0.191709382,0.1953278031,0.1933200467
NA1,terB,-0.783078433,-0.8055169057,-0.7898326716,-0.7734118318,-0.7138338442,-0.7976106652,-0.7712892187,-0.7775739381,-0.8053506198,-0.7984925645,-0.7815990693
HA1,terB,0.3063718436,0.2903054785,0.2887352157,0.2905083687,0.2626303151,0.29114385,0.2953972189,0.2925662075,0.3091019641,0.3061278404,0.2932888303
HA2,terB,0.2928647168,0.3043081658,0.301497927,0.2915663343,0.2647253829,0.3036114183,0.288308895,0.3014428888,0.3045392738,0.297036921,0.2949901924
CB1,terB,0.6418876169,0.659132678,0.6694785592,0.6000192402,0.6469037311,0.5992242483,0.659228766,0.5771767419,0.6142931914,0.6363966826,0.6303741456
OB1,terB,-0.4925994048,-0.5037363585,-0.4976530917,-0.476678557,-0.495561725,-0.4671432081,-0.5147716728,-0.4780084523,-0.4888125784,-0.5166399171,-0.4931604966
OB2,terB,-0.4304666826,-0.4725193929,-0.4704805935,-0.4066710434,-0.4426945746,-0.4372925013,-0.4206143694,-0.3535071084,-0.3975650794,-0.4275378576,-0.4259349203
CB2,terB,0.2811784705,0.3171230733,0.298655126,0.2833303601,0.2913525685,0.3052114611,0.2761572763,0.2543388188,0.2720844664,0.307781092,0.2887212713
CB3,terB,0.1838418726,0.2109032614,0.1995995289,0.1913371288,0.1864781463,0.2028553969,0.1875831049,0.1835648418,0.191709382,0.1953278031,0.1933200467
NB1,terB,-0.783078433,-0.8055169057,-0.7898326716,-0.7734118318,-0.7138338442,-0.7976106652,-0.7712892187,-0.7775739381,-0.8053506198,-0.7984925645,-0.7815990693
HB1,terB,0.3063718436,0.2903054785,0.2887352157,0.2905083687,0.2626303151,0.29114385,0.2953972189,0.2925662075,0.3091019641,0.3061278404,0.2932888303
HB2,terB,0.2928647168,0.3043081658,0.301497927,0.2915663343,0.2647253829,0.3036114183,0.288308895,0.3014428888,0.3045392738,0.297036921,0.2949901924
CD6,terB,-0.134093005,-0.1187290509,-0.1178076784,-0.1153978307,-0.1215191293,-0.0797109112,-0.1145728182,-0.0917504543,-0.124766236,-0.1269273972,-0.1145274511
HD4,terB,0.134093005,0.1187290509,0.1178076784,0.1153978307,0.1215191293,0.0797109112,0.1145728182,0.0917504543,0.124766236,0.1269273972,0.1145274511
CD1,OXO0,-0.134093005,-0.1187290509,-0.1178076784,-0.1153978307,-0.1215191293,-0.0797109112,-0.1145728182,-0.0917504543,-0.124766236,-0.1269273972,-0.1145274511
HD1,OXO0,0.134093005,0.1187290509,0.1178076784,0.1153978307,0.1215191293,0.0797109112,0.1145728182,0.0917504543,0.124766236,0.1269273972,0.1145274511
CD2,OXO0,-0.0383493714,0.0113502149,-0.1528452357,-0.0896211101,-0.1447575908,-0.0126347145,-0.0744608147,-0.0244010967,-0.1216466122,-0.0767842634,-0.0724150595
HD2,OXO0,0.1091097485,0.1095482714,0.1500579641,0.1496158257,0.1326665997,0.0980883617,0.1348819347,0.083937659,0.1487173154,0.1208339148,0.1237457595
OD1,OXO0,-0.2269738678,-0.2878134887,-0.1423727334,-0.2000222264,-0.1083461666,-0.2452431499,-0.2096518392,-0.2079093942,-0.1714125934,-0.1937610642,-0.1993506524
CD3,OXO0,0.0427265568,0.023008258,0.0739736383,0.0400163976,0.0662640745,0.0371679278,0.0444047996,0.0444181348,0.0586355935,0.0528308807,0.0483446262
CD4,OXO0,0.0427265568,0.023008258,0.0739736383,0.0400163976,0.0662640745,0.0371679278,0.0444047996,0.0444181348,0.0586355935,0.0528308807,0.0483446262
CD5,OXO0,-0.0383493714,0.0113502149,-0.1528452357,-0.0896211101,-0.1447575908,-0.0126347145,-0.0744608147,-0.0244010967,-0.1216466122,-0.0767842634,-0.0724150595
HD3,OXO0,0.1091097485,0.1095482714,0.1500579641,0.1496158257,0.1326665997,0.0980883617,0.1348819347,0.083937659,0.1487173154,0.1208339148,0.1237457595
CA1,OXO0,0.6418876169,0.659132678,0.6694785592,0.6000192402,0.6469037311,0.5992242483,0.659228766,0.5771767419,0.6142931914,0.6363966826,0.6303741456
OA1,OXO0,-0.4925994048,-0.5037363585,-0.4976530917,-0.476678557,-0.495561725,-0.4671432081,-0.5147716728,-0.4780084523,-0.4888125784,-0.5166399171,-0.4931604966
OA2,OXO0,-0.4304666826,-0.4725193929,-0.4704805935,-0.4066710434,-0.4426945746,-0.4372925013,-0.4206143694,-0.3535071084,-0.3975650794,-0.4275378576,-0.4259349203
CA2,OXO0,0.2811784705,0.3171230733,0.298655126,0.2833303601,0.2913525685,0.3052114611,0.2761572763,0.2543388188,0.2720844664,0.307781092,0.2887212713
CA3,OXO0,0.1838418726,0.2109032614,0.1995995289,0.1913371288,0.1864781463,0.2028553969,0.1875831049,0.1835648418,0.191709382,0.1953278031,0.1933200467
NA1,OXO0,-0.783078433,-0.8055169057,-0.7898326716,-0.7734118318,-0.7138338442,-0.7976106652,-0.7712892187,-0.7775739381,-0.8053506198,-0.7984925645,-0.7815990693
HA1,OXO0,0.3063718436,0.2903054785,0.2887352157,0.2905083687,0.2626303151,0.29114385,0.2953972189,0.2925662075,0.3091019641,0.3061278404,0.2932888303
HA2,OXO0,0.2928647168,0.3043081658,0.301497927,0.2915663343,0.2647253829,0.3036114183,0.288308895,0.3014428888,0.3045392738,0.297036921,0.2949901924
CB1,OXO0,0.6418876169,0.659132678,0.6694785592,0.6000192402,0.6469037311,0.5992242483,0.659228766,0.5771767419,0.6142931914,0.6363966826,0.6303741456
OB1,OXO0,-0.4925994048,-0.5037363585,-0.4976530917,-0.476678557,-0.495561725,-0.4671432081,-0.5147716728,-0.4780084523,-0.4888125784,-0.5166399171,-0.4931604966
OB2,OXO0,-0.4304666826,-0.4725193929,-0.4704805935,-0.4066710434,-0.4426945746,-0.4372925013,-0.4206143694,-0.3535071084,-0.3975650794,-0.4275378576,-0.4259349203
CB2,OXO0,0.2811784705,0.3171230733,0.298655126,0.2833303601,0.2913525685,0.3052114611,0.2761572763,0.2543388188,0.2720844664,0.307781092,0.2887212713
CB3,OXO0,0.1838418726,0.2109032614,0.1995995289,0.1913371288,0.1864781463,0.2028553969,0.1875831049,0.1835648418,0.191709382,0.1953278031,0.1933200467
NB1,OXO0,-0.783078433,-0.8055169057,-0.7898326716,-0.7734118318,-0.7138338442,-0.7976106652,-0.7712892187,-0.7775739381,-0.8053506198,-0.7984925645,-0.7815990693
HB1,OXO0,0.3063718436,0.2903054785,0.2887352157,0.2905083687,0.2626303151,0.29114385,0.2953972189,0.2925662075,0.3091019641,0.3061278404,0.2932888303
HB2,OXO0,0.2928647168,0.3043081658,0.301497927,0.2915663343,0.2647253829,0.3036114183,0.288308895,0.3014428888,0.3045392738,0.297036921,0.2949901924
CD6,OXO0,-0.134093005,-0.1187290509,-0.1178076784,-0.1153978307,-0.1215191293,-0.0797109112,-0.1145728182,-0.0917504543,-0.124766236,-0.1269273972,-0.1145274511
HD4,OXO0,0.134093005,0.1187290509,0.1178076784,0.1153978307,0.1215191293,0.0797109112,0.1145728182,0.0917504543,0.124766236,0.1269273972,0.1145274511
CC1,terA,-0.2051450625,-0.1202446188,-0.2367752279,-0.1748486015,-0.3155683186,-0.1645144201,-0.1924167498,-0.0414248744,-0.1544149893,-0.2254911413,-0.1830844004
HC1,terA,0.1558856559,0.1063358924,0.1628083982,0.0905554646,0.1842109528,0.0858985309,0.103893295,0.0567810378,0.0879706334,0.1656176774,0.1199957538
CC2,terA,0.1139094767,0.0474108991,0.1331261764,0.2107925059,0.2876970879,0.1379777884,0.1348033178,-0.0125146164,0.1754666416,0.1567076518,0.1385376929
CC3,terA,-0.1902858462,-0.1411528259,-0.221781503,-0.2871625409,-0.305483868,-0.176789016,-0.2020581557,-0.1261056508,-0.2419146284,-0.2282170097,-0.2120951045
HC2,terA,0.1256357762,0.1076506533,0.1626221563,0.1606631718,0.1491441459,0.1174271168,0.1557782927,0.1232641039,0.1328923426,0.1313828219,0.1366460581
CC4,terA,-0.0493794338,-0.1270966203,-0.0296549687,0.0165163156,0.031987355,-0.0764925378,-0.0353816105,-0.104153861,0.0055853696,-0.0442889265,-0.0412358919
HC3,terA,0.0934162279,0.123557094,0.0912901699,0.0879755397,0.0924755843,0.1142100648,0.0853448714,0.1121562735,0.0862702524,0.1028678649,0.0989563943
CC5,terA,-0.1710949723,-0.115809964,-0.1988668333,-0.2528622102,-0.284361406,-0.1553985464,-0.1724530988,-0.1268752395,-0.2394646009,-0.19702096,-0.1914207831
HC4,terA,0.1270581782,0.1193494904,0.1372316321,0.1483703549,0.1598984667,0.1176810193,0.1224898378,0.1188728269,0.1476089789,0.1384420217,0.1337002807
CC6,terA,-0.1206472869,-0.1517694769,-0.1088034428,-0.0307184675,-0.0356305293,-0.0983665047,-0.1321958202,-0.1332632884,-0.0738172949,-0.1254297845,-0.1010641896
HC5,terA,0.1150374571,0.1243553821,0.1126728707,0.0925889116,0.0980313803,0.1032531923,0.1286329521,0.1162091327,0.108498296,0.116560813,0.1115840388
CC7,terA,-0.0945863127,-0.0836641692,-0.0825342478,-0.2032562431,-0.1879170806,-0.111432523,-0.0923098001,-0.0853870342,-0.14647509,-0.0735641155,-0.1161126616
HC6,terA,0.1001961425,0.1110782641,0.0786648199,0.1413857991,0.1255162295,0.1065458355,0.0958726682,0.1024411899,0.1117940889,0.082433087,0.1055928125
CD1,terA,-0.134093005,-0.1187290509,-0.1178076784,-0.1153978307,-0.1215191293,-0.0797109112,-0.1145728182,-0.0917504543,-0.124766236,-0.1269273972,-0.1145274511
HD1,terA,0.134093005,0.1187290509,0.1178076784,0.1153978307,0.1215191293,0.0797109112,0.1145728182,0.0917504543,0.124766236,0.1269273972,0.1145274511
CD2,terA,-0.0383493714,0.0113502149,-0.1528452357,-0.0896211101,-0.1447575908,-0.0126347145,-0.0744608147,-0.0244010967,-0.1216466122,-0.0767842634,-0.0724150595
HD2,terA,0.1091097485,0.1095482714,0.1500579641,0.1496158257,0.1326665997,0.0980883617,0.1348819347,0.083937659,0.1487173154,0.1208339148,0.1237457595
OD1,terA,-0.2269738678,-0.2878134887,-0.1423727334,-0.2000222264,-0.1083461666,-0.2452431499,-0.2096518392,-0.2079093942,-0.1714125934,-0.1937610642,-0.1993506524
CD3,terA,0.0427265568,0.023008258,0.0739736383,0.0400163976,0.0662640745,0.0371679278,0.0444047996,0.0444181348,0.0586355935,0.0528308807,0.0483446262
CD4,terA,0.0427265568,0.023008258,0.0739736383,0.0400163976,0.0662640745,0.0371679278,0.0444047996,0.0444181348,0.0586355935,0.0528308807,0.0483446262
CD5,terA,-0.0383493714,0.0113502149,-0.1528452357,-0.0896211101,-0.1447575908,-0.0126347145,-0.0744608147,-0.0244010967,-0.1216466122,-0.0767842634,-0.0724150595
HD3,terA,0.1091097485,0.1095482714,0.1500579641,0.1496158257,0.1326665997,0.0980883617,0.1348819347,0.083937659,0.1487173154,0.1208339148,0.1237457595
CA1,terA,0.6418876169,0.659132678,0.6694785592,0.6000192402,0.6469037311,0.5992242483,0.659228766,0.5771767419,0.6142931914,0.6363966826,0.6303741456
OA1,terA,-0.4925994048,-0.5037363585,-0.4976530917,-0.476678557,-0.495561725,-0.4671432081,-0.5147716728,-0.4780084523,-0.4888125784,-0.5166399171,-0.4931604966
OA2,terA,-0.4304666826,-0.4725193929,-0.4704805935,-0.4066710434,-0.4426945746,-0.4372925013,-0.4206143694,-0.3535071084,-0.3975650794,-0.4275378576,-0.4259349203
CA2,terA,0.2811784705,0.3171230733,0.298655126,0.2833303601,0.2913525685,0.3052114611,0.2761572763,0.2543388188,0.2720844664,0.307781092,0.2887212713
CA3,terA,0.1838418726,0.2109032614,0.1995995289,0.1913371288,0.1864781463,0.2028553969,0.1875831049,0.1835648418,0.191709382,0.1953278031,0.1933200467
NA1,terA,-0.783078433,-0.8055169057,-0.7898326716,-0.7734118318,-0.7138338442,-0.7976106652,-0.7712892187,-0.7775739381,-0.8053506198,-0.7984925645,-0.7815990693
HA1,terA,0.3063718436,0.2903054785,0.2887352157,0.2905083687,0.2626303151,0.29114385,0.2953972189,0.2925662075,0.3091019641,0.3061278404,0.2932888303
HA2,terA,0.2928647168,0.3043081658,0.301497927,0.2915663343,0.2647253829,0.3036114183,0.288308895,0.3014428888,0.3045392738,0.297036921,0.2949901924
CB1,terA,0.6418876169,0.659132678,0.6694785592,0.6000192402,0.6469037311,0.5992242483,0.659228766,0.5771767419,0.6142931914,0.6363966826,0.6303741456
OB1,terA,-0.4925994048,-0.5037363585,-0.4976530917,-0.476678557,-0.495561725,-0.4671432081,-0.5147716728,-0.4780084523,-0.4888125784,-0.5166399171,-0.4931604966
OB2,terA,-0.4304666826,-0.4725193929,-0.4704805935,-0.4066710434,-0.4426945746,-0.4372925013,-0.4206143694,-0.3535071084,-0.3975650794,-0.4275378576,-0.4259349203
CB2,terA,0.2811784705,0.3171230733,0.298655126,0.2833303601,0.2913525685,0.3052114611,0.2761572763,0.2543388188,0.2720844664,0.307781092,0.2887212713
CB3,terA,0.1838418726,0.2109032614,0.1995995289,0.1913371288,0.1864781463,0.2028553969,0.1875831049,0.1835648418,0.191709382,0.1953278031,0.1933200467
NB1,terA,-0.783078433,-0.8055169057,-0.7898326716,-0.7734118318,-0.7138338442,-0.7976106652,-0.7712892187,-0.7775739381,-0.8053506198,-0.7984925645,-0.7815990693
HB1,terA,0.3063718436,0.2903054785,0.2887352157,0.2905083687,0.2626303151,0.29114385,0.2953972189,0.2925662075,0.3091019641,0.3061278404,0.2932888303
HB2,terA,0.2928647168,0.3043081658,0.301497927,0.2915663343,0.2647253829,0.3036114183,0.288308895,0.3014428888,0.3045392738,0.297036921,0.2949901924
CD6,terA,-0.134093005,-0.1187290509,-0.1178076784,-0.1153978307,-0.1215191293,-0.0797109112,-0.1145728182,-0.0917504543,-0.124766236,-0.1269273972,-0.1145274511
HD4,terA,0.134093005,0.1187290509,0.1178076784,0.1153978307,0.1215191293,0.0797109112,0.1145728182,0.0917504543,0.124766236,0.1269273972,0.1145274511
